Feature			Request					Folder\File
SEARCH			SearchRequest				\MailClient\Search\Attach\search_specific 
SEARCH			SearchRequest				\MailClient\Search\Attach\search_content
SEARCH			SearchRequest				\MailClient\Search\Attach\search_uuencode
SEARCH			SearchRequest				\MailClient\Search\Basic\search_cc
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_date
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_domain
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_folders
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_size
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_time
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_tag
SEARCH			SearchRequest				\MailClient\Search\Basic\search_combo_status
SEARCH			SearchRequest				\MailClient\Search\Basic\search_content
SEARCH			SearchRequest				\MailClient\Search\Basic\search_from
SEARCH			SearchRequest				\MailClient\Search\Basic\search_subject
SEARCH			SearchRequest				\MailClient\Search\Basic\search_to
SEARCH			SearchRequest				\MailClient\Search\Basic\search_bcc
SEARCH			SearchRequest				\MailClient\Search\Calendar\search_content
SEARCH			SearchRequest				\MailClient\Search\Calendar\invite_attach
SEARCH			SearchRequest				\MailClient\Search\Contacts\search_contact_folder
SEARCH			SearchRequest				\MailClient\Search\Contacts\search_contact_tag
SEARCH			SearchRequest				\MailClient\Search\Contacts\search_contacts
SEARCH			SearchRequest				\MailClient\Search\Date\search_after
SEARCH			SearchRequest				\MailClient\Search\Date\search_before
SEARCH			SearchRequest				\MailClient\Search\Date\search_date
SEARCH			SearchRequest				\MailClient\Search\Date\search_date_combo
SEARCH			SearchRequest				\MailClient\Search\Domain\search_domain
SEARCH			SearchRequest				\MailClient\Search\Flag\search_combo_folder
SEARCH			SearchRequest				\MailClient\Search\Flag\search_combo_time
SEARCH			SearchRequest				\MailClient\Search\Flag\search_flag
SEARCH			SearchRequest				\MailClient\Search\Folder\search_anywhere
SEARCH			SearchRequest				\MailClient\Search\Folder\search_folder
SEARCH			SearchRequest				\MailClient\Search\Object\search_object_phone
SEARCH			SearchRequest				\MailClient\Search\Object\search_object_url
SEARCH			SearchRequest				\MailClient\Search\Read\Search_read
SEARCH			SearchRequest				\MailClient\Search\Reply_Forward\search_replied_forwarded
SEARCH			SearchRequest				\MailClient\Search\size\search_size
SEARCH			SearchRequest				\MailClient\Search\Tag\search_combo_basic
SEARCH			SearchRequest				\MailClient\Search\Tag\search_combo_time
SEARCH			SearchRequest				\MailClient\Search\Tag\search_tag
SEARCH			SearchRequest				\MailClient\Search\Tag\search_hiddentags
SEARCH			SearchRequest				\MailClient\Search\Time\search_time
SEARCH			SearchRequest				\MailClient\Search\Tasks\search_tasks
SEARCH			SearchDirectoryRequest			\MailClient\Search\SearchDirectoryRequest

DELEGATION		FolderActionRequest			\MailClient\Delegation\calendars_delegated
DELEGATION		FolderActionRequest			\MailClient\Delegation\folders_delegated_alias
DELEGATION		FolderActionRequest			\MailClient\Delegation\folders_delegated_all
DELEGATION		FolderActionRequest			\MailClient\Delegation\folders_delegated_cos
DELEGATION		FolderActionRequest			\MailClient\Delegation\folders_delegated_dl
DELEGATION		FolderActionRequest			\MailClient\Delegation\folders_delegated_domains
DELEGATION		FolderActionRequest			\MailClient\Delegation\folders_delegated_user

FILTERS			SaveRulesRequest			\MailClient\Filters\filters_basic
FILTERS			GetRulesRequest				\MailClient\Filters\filters_basic
FILTERS			SaveRulesRequest			\MailClient\Filters\filters_delete
FILTERS			SaveRulesRequest			\MailClient\Filters\filters_spam
FILTERS			SaveRulesRequest			\MailClient\Filters\Any-of\Subject\saverule_subject_is
FILTERS			GetRulesRequest				\MailClient\Filters\Any-of\Subject\saverule_subject_is

ITEMS			ItemActionRequest			\MailClient\Item\itemaction_contact
ITEMS			ItemActionRequest			\MailClient\Item\itemaction_conversation
ITEMS			ItemActionRequest			\MailClient\Item\itemaction_folder
ITEMS			ItemActionRequest			\MailClient\Item\itemaction_message
ITEMS			ItemActionRequest			\MailClient\Item\itemaction_tag

PASSWORD		ChangePasswordRequest			\MailClient\Passwd\passwd_basic
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\aged_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\change_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\history_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\length_password
PASSWORD		ChangePasswordRequest			\MailClient\Passwd\locked_password

SKINS			GetAvailableSkinsRequest		\MailClient\Skins\availableskins_get

SPAM			smtpInjectRequest			\MailClient\Spam\spamBasic
SPAM			SearchRequest				\MailClient\Spam\spamBasic
SPAM			MsgActionRequest			\MailClient\Spam\message_action_spam

SYNC			SyncRequest				\MailClient\Sync\sync_request
SYNC			SyncRequest				\MailClient\Sync\sync_appointment

WIKI			SaveDocumentRequest			\MailClient\Wiki\SaveDocumentBasic
WIKI			SaveWikiRequest				\MailClient\Wiki\SaveWikiBasic
WIKI			GetWikiRequest				\MailClient\Wiki\GetWikiBasic
WIKI			WikiActionRequest			\MailClient\Wiki\ActionWikiBasic
WIKI			CreateFolderRequest			\MailClient\Wiki\WikiFolderRequest
WIKI			ListWikiRequest
WIKI			DiffWikiRequest 
WIKI			InitNotebookRequest

CONTEXT								\MailClient\Headers\Context\change
CONTEXT								\MailClient\Headers\Context\nonotify
CONTEXT								\MailClient\Headers\Context\nosession
CONTEXT								\MailClient\Headers\Context\notify

RestServlet		restServletRequest			\RestServlet\Auth\ba_BasicAuth\restAuthBasicAuth_basic
RestServlet		restServletRequest			\RestServlet\Auth\co_Cookie\restAuthCookie_basic
RestServlet		restServletRequest			\RestServlet\Auth\restAuth_combo
RestServlet		restServletRequest			\RestServlet\Calendar\Post\basic
RestServlet		restServletRequest			\RestServlet\Fmt\csv\contact_csv
RestServlet		restServletRequest			\RestServlet\Fmt\html\part_viewAsHTML
RestServlet		restServletRequest			\RestServlet\Fmt\JSON\contact_json
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\sync_basic
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Conv\sync_conv
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_attach
RestServlet		restServletRequest			\RestServlet\Fmt\Sync\Flags\flag_deleted
